platform,komentar,clean,stopword,stemming,sentimen
YouTube,"setane Batak..
wkwkwkwkwk","setane batak
wkwkwkwkwk",setane batak wkwkwkwkwk,setane batak wkwkwkwkwk,netral
YouTube,kenapa jadi full cerita hantu dah 😅😅😅,kenapa jadi full cerita hantu dah ,full cerita hantu dah,full cerita hantu dah,netral
YouTube,"Pak Arif Didu akting ketakutannya keren, jeleknya dapet banget",pak arif didu akting ketakutannya keren jeleknya dapet banget,arif didu akting ketakutannya keren jeleknya dapet banget,arif didu akting takut keren jelek dapet banget,positif
YouTube,"YANG AWALNYA CANDAAN DAN TIBA TIBA DEAL BIKIN FILM DAN AKAN SEGERA PREMIER DI BIOSKOP KEREN KALI ABANG ABANG AWAK INI EMG CONGRATS ABANG""🔥🔥 BTW TUTOR CEPETIN TANGGALAN GIMNA GUYS BIAR BISA CEPET"" KE TANGGAL 1 FEBRUARI 😅",yang awalnya candaan dan tiba tiba deal bikin film dan akan segera premier di bioskop keren kali abang abang awak ini emg congrats abang btw tutor cepetin tanggalan gimna guys biar bisa cepet ke tanggal  februari ,candaan deal bikin film premier bioskop keren kali abang abang awak emg congrats abang btw tutor cepetin tanggalan gimna guys biar cepet tanggal februari,canda deal bikin film premier bioskop keren kali abang abang awak emg congrats abang btw tutor cepetin tanggal gimna guys biar cepet tanggal februari,positif
YouTube,Bagus euy,bagus euy,bagus euy,bagus euy,positif
YouTube,Di netflix ada ?,di netflix ada ,netflix,netflix,netral
YouTube,angin duduk hahaha.....,angin duduk hahaha,angin duduk hahaha,angin duduk hahaha,netral
YouTube,Inimah kosan pasukan bermarga + bapak bapak titik kumpul 🤣,inimah kosan pasukan bermarga  bapak bapak titik kumpul ,inimah kosan pasukan bermarga titik kumpul,inimah kosan pasu marga titik kumpul,netral
YouTube,Top markotop Ernest telah mewujudkan janji nya membuatkan film untuk Agak Laen.,top markotop ernest telah mewujudkan janji nya membuatkan film untuk agak laen,top markotop ernest mewujudkan janji nya membuatkan film laen,top markotop ernest wujud janji nya buat film laen,netral
YouTube,Tinggal di kampung yg ga ada bioskopnya padahal pengen banget nonton,tinggal di kampung yg ga ada bioskopnya padahal pengen banget nonton,tinggal kampung yg ga bioskopnya pengen banget nonton,tinggal kampung yg ga bioskop ken banget nonton,netral
YouTube,Gajelas kontlo,gajelas kontlo,gajelas kontlo,gajelas kontlo,netral
YouTube,"Baru trailer aja udah ngakak ngakak😂, ga sabar nonton di bioskop🥰",baru trailer aja udah ngakak ngakak ga sabar nonton di bioskop,trailer aja udah ngakak ngakak ga sabar nonton bioskop,trailer aja udah ngakak ngakak ga sabar nonton bioskop,netral
YouTube,Ngapaaaaa dah lu???,ngapaaaaa dah lu,ngapaaaaa dah lu,ngapaaaaa dah lu,netral
YouTube,"Paten kali, ud pasti lucu ini mahhh",paten kali ud pasti lucu ini mahhh,paten kali ud lucu mahhh,paten kali ud lucu mahhh,positif
YouTube,Premisnya unik.. gak sabar pengen nonton😅😅,premisnya unik gak sabar pengen nonton,premisnya unik gak sabar pengen nonton,premis unik gak sabar ken nonton,netral
YouTube,Gaassss,gaassss,gaassss,gaassss,netral
YouTube,Hantuu Batak wkwkwk,hantuu batak wkwkwk,hantuu batak wkwkwk,hantuu batak wkwkwk,netral
YouTube,Jegel udah yakin bilang depan koh ernest 1juta penonton udah di pegang.....,jegel udah yakin bilang depan koh ernest juta penonton udah di pegang,jegel udah bilang koh ernest juta penonton udah pegang,jegel udah bilang koh ernest juta tonton udah pegang,netral
YouTube,Bagus premisnya,bagus premisnya,bagus premisnya,bagus premis,positif
YouTube,Akhirnya mas mas cadangan kiper dipake shooting wkwk,akhirnya mas mas cadangan kiper dipake shooting wkwk,mas mas cadangan kiper dipake shooting wkwk,mas mas cadang kiper dipake shooting wkwk,netral
YouTube,Ada Aci Resti Bikin Nambah Pecah❗,ada aci resti bikin nambah pecah,aci resti bikin nambah pecah,aci resti bikin nambah pecah,netral
YouTube,Agak berat ini 1 jt penonton 😢,agak berat ini  jt penonton ,berat jt penonton,berat jt tonton,netral
YouTube,Wajib nonton,wajib nonton,wajib nonton,wajib nonton,netral
YouTube,Sapu bersih piala citra lah ni film di ffi 2024🤣🤣,sapu bersih piala citra lah ni film di ffi ,sapu bersih piala citra ni film ffi,sapu bersih piala citra ni film ffi,netral
YouTube,Gasss,gasss,gasss,gasss,netral
YouTube,Kocak asli😂😂,kocak asli,kocak asli,kocak asli,netral
YouTube,1jt garansi 😂😂,jt garansi ,jt garansi,jt garansi,netral
YouTube,"Please bang ,, tayangin di Malaysia donk ,,",please bang  tayangin di malaysia donk ,please bang tayangin malaysia donk,please bang tayangin malaysia donk,netral
YouTube,Siap hadir di bioskop,siap hadir di bioskop,hadir bioskop,hadir bioskop,netral
YouTube,Tak sabar menunggu bang kaku jadi hantu,tak sabar menunggu bang kaku jadi hantu,sabar menunggu bang kaku hantu,sabar tunggu bang kaku hantu,netral
YouTube,"Rumah hantu kan materi Yudha Keling, kenapa dia gak diajak?",rumah hantu kan materi yudha keling kenapa dia gak diajak,rumah hantu materi yudha keling gak diajak,rumah hantu materi yudha keling gak ajak,netral
YouTube,"Kalo dulu ngeri_ngeri sedap tak bisa nonton secara langsung,kali ini harus bisa nonton ke bioskop😁,kyk ny keren kali bah😂",kalo dulu ngeringeri sedap tak bisa nonton secara langsungkali ini harus bisa nonton ke bioskopkyk ny keren kali bah,kalo ngeringeri sedap nonton langsungkali nonton bioskopkyk ny keren kali bah,kalo ngeringeri sedap nonton langsungkali nonton bioskopkyk ny keren kali bah,positif
YouTube,Gassss lahhhh,gassss lahhhh,gassss lahhhh,gassss lahhhh,netral
YouTube,Gak sabar banget pengen nonton,gak sabar banget pengen nonton,gak sabar banget pengen nonton,gak sabar banget ken nonton,netral
YouTube,gassss gassss,gassss gassss,gassss gassss,gassss gassss,netral
YouTube,Wkwk.. lucu lagi..,wkwk lucu lagi,wkwk lucu,wkwk lucu,positif
YouTube,Kereeennnnnnn kejadian juga akhirnya 👏🏻👏🏻👏🏻 #agaklainthemovie #filmagaklain,kereeennnnnnn kejadian juga akhirnya  agaklainthemovie filmagaklain,kereeennnnnnn kejadian agaklainthemovie filmagaklain,kereeennnnnnn jadi agaklainthemovie filmagaklain,netral
YouTube,Bahhhh😂,bahhhh,bahhhh,bahhhh,netral
YouTube,Lucu kali abang abangku,lucu kali abang abangku,lucu kali abang abangku,lucu kali abang abang,positif
YouTube,😂😂,,,,netral
YouTube,Gak sabrrr nunggu tgl 1 Februari,gak sabrrr nunggu tgl  februari,gak sabrrr nunggu tgl februari,gak sabrrr nunggu tgl februari,netral
YouTube,"gasabar buat film film agak lain selanjutnya. walaupun ini belum tayang, tapi semoga sukses, biar film format grup gini bisa ramai lagi dan meramaikan industri film Indonesia gk cuma horor drama doang",gasabar buat film film agak lain selanjutnya walaupun ini belum tayang tapi semoga sukses biar film format grup gini bisa ramai lagi dan meramaikan industri film indonesia gk cuma horor drama doang,gasabar film film tayang semoga sukses biar film format grup gini ramai meramaikan industri film indonesia gk horor drama doang,gasabar film film tayang moga sukses biar film format grup gin ramai ramai industri film indonesia gk horor drama doang,netral
YouTube,Si nopek😂😂😂😂,si nopek,si nopek,si nopek,netral
YouTube,Baru trailer nya aja udah ngakak 🤣🙈,baru trailer nya aja udah ngakak ,trailer nya aja udah ngakak,trailer nya aja udah ngakak,netral
YouTube,Setannya Batak😂,setannya batak,setannya batak,setan batak,netral
YouTube,"Angin apa yang bisa bukak kursi lipat??? 

Angin duduk 😅😅😅.. 
. 
. 
Dua kata lucu 😂😂","angin apa yang bisa bukak kursi lipat 

angin duduk  
 
 
dua kata lucu ",angin bukak kursi lipat angin duduk lucu,angin bukak kursi lipat angin duduk lucu,positif
YouTube,"Jangan lama kali tayangnya bang, keburu abis duit awak buat beli tiket",jangan lama kali tayangnya bang keburu abis duit awak buat beli tiket,kali tayangnya bang keburu abis duit awak beli tiket,kali tayang bang keburu abis duit awak beli tiket,netral
YouTube,Gak Sabar pengen nonton...,gak sabar pengen nonton,gak sabar pengen nonton,gak sabar ken nonton,netral
YouTube,Jiwa warkopny maasyaallah yaa ✨,jiwa warkopny maasyaallah yaa ,jiwa warkopny maasyaallah yaa,jiwa warkopny maasyaallah yaa,netral
YouTube,angin duduk dong😂,angin duduk dong,angin duduk,angin duduk,netral
YouTube,Too setane batak too…🤣😂,too setane batak too,too setane batak too,too setane batak too,netral
YouTube,Trailernya detail banget…nggak takut udh kebayang kah ?,trailernya detail bangetnggak takut udh kebayang kah ,trailernya detail bangetnggak takut udh kebayang kah,trailer detail bangetnggak takut udh bayang kah,netral
YouTube,"Setan ' e Batak

Bye Gus nopek","setan  e batak

bye gus nopek",setan e batak bye gus nopek,setan e batak bye gus nopek,netral
YouTube,Wajib Nonton demi minimal taruhan 1 Jt Penonton😂,wajib nonton demi minimal taruhan  jt penonton,wajib nonton minimal taruhan jt penonton,wajib nonton minimal taruh jt tonton,netral
YouTube,1 juta aman lah wak !! sepelenya itu, juta aman lah wak  sepelenya itu,juta aman wak sepelenya,juta aman wak sepele,netral
YouTube,Bang bene pasti dapat penghargaan akting ter tidak kaku👌,bang bene pasti dapat penghargaan akting ter tidak kaku,bang bene penghargaan akting ter kaku,bang bene harga akting ter kaku,netral
YouTube,kacok ini balakan,kacok ini balakan,kacok balakan,kacok bala,netral
YouTube,Akhirnya Oki main film,akhirnya oki main film,oki main film,oki main film,netral
YouTube,Tak Sabar Mau Nonton... Walaupun Jarak  Kota Kisaran  Tepatnya Di Irian Plaza Bioskop 21 Dari Tempat Aku Tinggal sekitar 20 kilometer tidak masalah. Salam Dari Komuntias Pasukan Bermarga. Salam Kenal Dari Anak Kota Kerang Tanjungbalai Sumatera Utara.😊 Agak Laen.... Maen Kali Jang...!!!,tak sabar mau nonton walaupun jarak  kota kisaran  tepatnya di irian plaza bioskop  dari tempat aku tinggal sekitar  kilometer tidak masalah salam dari komuntias pasukan bermarga salam kenal dari anak kota kerang tanjungbalai sumatera utara agak laen maen kali jang,sabar nonton jarak kota kisaran tepatnya irian plaza bioskop tinggal kilometer salam komuntias pasukan bermarga salam kenal anak kota kerang tanjungbalai sumatera utara laen maen kali jang,sabar nonton jarak kota kisar tepat iri plaza bioskop tinggal kilometer salam komuntias pasu marga salam kenal anak kota kerang tanjungbalai sumatera utara laen maen kali jang,netral
YouTube,Kerennn bangg,kerennn bangg,kerennn bangg,kerennn bangg,positif
YouTube,wajib nonton ini buat semua nya,wajib nonton ini buat semua nya,wajib nonton nya,wajib nonton nya,netral
YouTube,1 juta penonton mah bener-bener lewat sepertinya koh ernesttt, juta penonton mah benerbener lewat sepertinya koh ernesttt,juta penonton mah benerbener koh ernesttt,juta tonton mah benerbener koh ernesttt,netral
YouTube,wkwkwkkw ngeriii kalii,wkwkwkkw ngeriii kalii,wkwkwkkw ngeriii kalii,wkwkwkkw ngeriii kali,netral
YouTube,"Jirrr....ngakak pas nopek bilang, setane batak to... 🤣",jirrrngakak pas nopek bilang setane batak to ,jirrrngakak pas nopek bilang setane batak to,jirrrngakak pas nopek bilang setane batak to,netral
YouTube,"Ngakak pas liat bang boris bilang ""pak, s.s.ssibuk gak?"" 😂😂😂",ngakak pas liat bang boris bilang pak ssssibuk gak ,ngakak pas liat bang boris bilang ssssibuk gak,ngakak pas liat bang bor bilang ssssibuk gak,netral
YouTube,Ada ms nopekkkkk pasti nontonnnnnnnn✌️💃💃,ada ms nopekkkkk pasti nontonnnnnnnn,ms nopekkkkk nontonnnnnnnn,ms nopekkkkk nontonnnnnnnn,netral
YouTube,lama bgttttttttttttt,lama bgttttttttttttt,bgttttttttttttt,bgttttttttttttt,netral
YouTube,Wiii kereeeen,wiii kereeeen,wiii kereeeen,wiii kereeeen,netral
YouTube,"Meskipun bang Dem Dem, berperan jadi hantu. tetap kena cahaya-cahaya itu",meskipun bang dem dem berperan jadi hantu tetap kena cahayacahaya itu,bang dem dem berperan hantu kena cahayacahaya,bang dem dem peran hantu kena cahayacahaya,netral
YouTube,awas aja klo gak lucu 😡,awas aja klo gak lucu ,awas aja klo gak lucu,awas aja klo gak lucu,positif
YouTube,Wajib nonton full ketawa 😂,wajib nonton full ketawa ,wajib nonton full ketawa,wajib nonton full ketawa,netral
YouTube,""" juhhhh setanne batak too""", juhhhh setanne batak too,juhhhh setanne batak too,juhhhh setanne batak too,netral
YouTube,sangat ditunggu 🔥🔥🔥🔥,sangat ditunggu ,ditunggu,tunggu,netral
YouTube,Menit brp?,menit brp,menit brp,menit brp,netral
YouTube, @sakafathi  nonton aja bang, sakafathi  nonton aja bang,sakafathi nonton aja bang,sakafathi nonton aja bang,netral
YouTube,Film sampahhhb,film sampahhhb,film sampahhhb,film sampahhhb,netral
YouTube,"Dari trailer nya menjanjikan nih film, mantapp gak sabar nunggu",dari trailer nya menjanjikan nih film mantapp gak sabar nunggu,trailer nya menjanjikan nih film mantapp gak sabar nunggu,trailer nya janji nih film mantapp gak sabar nunggu,positif
YouTube,Trailernya ditonton ulang ulang karena lucu banget😂😂😂😂,trailernya ditonton ulang ulang karena lucu banget,trailernya ditonton ulang ulang lucu banget,trailer tonton ulang ulang lucu banget,positif
YouTube,Wiii kerennn,wiii kerennn,wiii kerennn,wiii kerennn,positif
YouTube,Oki mantap,oki mantap,oki mantap,oki mantap,positif
YouTube,harusnya sih full gerrr komedy dar der dor terkekeh-kekeh dah gak sabar mau ke 21 kalau dah rilis.,harusnya sih full gerrr komedy dar der dor terkekehkekeh dah gak sabar mau ke  kalau dah rilis,sih full gerrr komedy dar der dor terkekehkekeh dah gak sabar dah rilis,sih full gerrr komedy dar der dor terkekehkekeh dah gak sabar dah rilis,netral
YouTube,Ahahah gokil,ahahah gokil,ahahah gokil,ahahah gokil,netral
YouTube,Ya ampuunn pengen x ku nonton. Syg x Aceh g pny bioskop 😭,ya ampuunn pengen x ku nonton syg x aceh g pny bioskop ,ya ampuunn pengen x ku nonton syg x aceh g pny bioskop,ya ampuunn ken x ku nonton syg x aceh g pny bioskop,netral
YouTube,Fresh ni ceritanya bagus keknya,fresh ni ceritanya bagus keknya,fresh ni ceritanya bagus keknya,fresh ni cerita bagus kek,positif
YouTube,Tolong dipikirkan cimana kami di luar negri bisa nonton nanti filmnya model berbayar gitu.. paling ngak kami ngak harus nunggu 6 bulan untuk muncul di Netflix. Terimakasih Komandan Ketua's,tolong dipikirkan cimana kami di luar negri bisa nonton nanti filmnya model berbayar gitu paling ngak kami ngak harus nunggu  bulan untuk muncul di netflix terimakasih komandan ketuas,tolong dipikirkan cimana negri nonton filmnya model berbayar gitu ngak ngak nunggu muncul netflix terimakasih komandan ketuas,tolong pikir cimana negri nonton film model bayar gitu ngak ngak nunggu muncul netflix terimakasih komandan tuas,netral
YouTube,'angin yakan?' ketua Oki Rengga Winata gini doang ngakak saya. allah!!,angin yakan ketua oki rengga winata gini doang ngakak saya allah,angin yakan ketua oki rengga winata gini doang ngakak allah,angin yakan ketua oki rengga winata gin doang ngakak allah,netral
YouTube,"1jt penonton lebih. Yok lah yok, pastiiiiii......",jt penonton lebih yok lah yok pastiiiiii,jt penonton yok yok pastiiiiii,jt tonton yok yok pastiiiiii,netral
YouTube,Paling gak suka film horor tapi x ini agak Laen memang harus nonton ini🎉😊,paling gak suka film horor tapi x ini agak laen memang harus nonton ini,gak suka film horor x laen nonton,gak suka film horor x laen nonton,positif
YouTube,Wajib nonton,wajib nonton,wajib nonton,wajib nonton,netral
YouTube,Angin apa yg bisa buka kursi lipat? Angin Duduk ya kan. jokes cerdas😂,angin apa yg bisa buka kursi lipat angin duduk ya kan jokes cerdas,angin yg buka kursi lipat angin duduk ya jokes cerdas,angin yg buka kursi lipat angin duduk ya jokes cerdas,netral
YouTube,Lucu kalii fakk rispekkk,lucu kalii fakk rispekkk,lucu kalii fakk rispekkk,lucu kali fakk rispekkk,positif
YouTube,"Masih lama bah!!
februari baru tayang, ga sabar lg awak 😂❤","masih lama bah
februari baru tayang ga sabar lg awak ",bah februari tayang ga sabar lg awak,bah februari tayang ga sabar lg awak,netral
YouTube,Adakah di Netflix,adakah di netflix,adakah netflix,ada netflix,netral
YouTube,Sumpah ku tunggu kali ini film nya bang,sumpah ku tunggu kali ini film nya bang,sumpah ku tunggu kali film nya bang,sumpah ku tunggu kali film nya bang,netral
YouTube,Weehh masih lama weehh😂😂yuk bisa yuk langsung di share... Biar banyak yg nonton yayayayaya,weehh masih lama weehhyuk bisa yuk langsung di share biar banyak yg nonton yayayayaya,weehh weehhyuk yuk langsung share biar yg nonton yayayayaya,weehh weehhyuk yuk langsung share biar yg nonton yayayayaya,netral
YouTube,Kudu di tonton nih seru abis film ya..,kudu di tonton nih seru abis film ya,kudu tonton nih seru abis film ya,kudu tonton nih seru abis film ya,positif
YouTube,Kapan Ini keluar nya,kapan ini keluar nya,nya,nya,netral
YouTube,"Terima kasih baang

Sesuai dengan ultaahku hehehehe","terima kasih baang

sesuai dengan ultaahku hehehehe",terima kasih baang sesuai ultaahku hehehehe,terima kasih baang sesuai ultaahku hehehehe,netral
YouTube,Aduhhh ....nunggu tayang di netplik kapan yeaaaaaaaaa 😢😭😭😭,aduhhh nunggu tayang di netplik kapan yeaaaaaaaaa ,aduhhh nunggu tayang netplik yeaaaaaaaaa,aduhhh nunggu tayang netplik yeaaaaaaaaa,netral
YouTube,"Ini LPM di atur gak nih? Jangan terlalu rapet LPM nya, takut keram perut gua ntar... 😂😂😂😂",ini lpm di atur gak nih jangan terlalu rapet lpm nya takut keram perut gua ntar ,lpm atur gak nih rapet lpm nya takut keram perut gua ntar,lpm atur gak nih rapet lpm nya takut keram perut gua ntar,netral
YouTube,ahhh keren kali bahhh,ahhh keren kali bahhh,ahhh keren kali bahhh,ahhh keren kali bahhh,positif
YouTube,Kimbeklah nengok trailler nya aja udah buat penasaran,kimbeklah nengok trailler nya aja udah buat penasaran,kimbeklah nengok trailler nya aja udah penasaran,kimbeklah nengok trailler nya aja udah penasaran,netral
YouTube,Gas,gas,gas,gas,netral
YouTube,Full KOMIKA yg semuanya lagi Naik Daun😂😂,full komika yg semuanya lagi naik daun,full komika yg daun,full komika yg daun,netral
YouTube,nonton sama boru sasadaku pastinya lah🥰🥰,nonton sama boru sasadaku pastinya lah,nonton boru sasadaku pastinya,nonton boru sasadaku pasti,netral
YouTube,letsgoooo🔥🔥,letsgoooo,letsgoooo,letsgoooo,netral
YouTube,abang abang ku ga sabar kali ah nonton klen berdua sm mantan ku siapa tau balikan ye kan,abang abang ku ga sabar kali ah nonton klen berdua sm mantan ku siapa tau balikan ye kan,abang abang ku ga sabar kali ah nonton klen berdua sm mantan ku tau balikan ye,abang abang ku ga sabar kali ah nonton klen dua sm mantan ku tau balik ye,netral
YouTube,"AAAA GA SABARRR NONTONN
WISHLIST FILM 2024","aaaa ga sabarrr nontonn
wishlist film ",aaaa ga sabarrr nontonn wishlist film,aaaa ga sabarrr nontonn wishlist film,netral
YouTube,"gx sabar pengen cepet nonton, udah keliatan kayanya ini seruuuuuu",gx sabar pengen cepet nonton udah keliatan kayanya ini seruuuuuu,gx sabar pengen cepet nonton udah keliatan kayanya seruuuuuu,gx sabar ken cepet nonton udah liat kaya seruuuuuu,positif
YouTube,Lucu bgt 😂,lucu bgt ,lucu bgt,lucu bgt,positif
YouTube,GASABAR GASABAR GASABARRRRRRR,gasabar gasabar gasabarrrrrrr,gasabar gasabar gasabarrrrrrr,gasabar gasabar gasabarrrrrrr,netral
YouTube,"NONTONNN WAJIBBB, JANGAN CUMA SEKALI YAAAA GUYSSS.. KITA GASKAN LEBIH DARI SEJUTAAA🙌🙌🙌🙌🙌",nontonnn wajibbb jangan cuma sekali yaaaa guysss kita gaskan lebih dari sejutaaa,nontonnn wajibbb yaaaa guysss gaskan sejutaaa,nontonnn wajibbb yaaaa guysss gas sejutaaa,netral
YouTube,"Permisi teman2😂,ada kah disini yang tau gmn caranya bisa DM bg Bene? Atau ada yg tau email nya ga ya? 
Sungguh ingin mengutarakan sesuatu buat beliau...
Btw...ga sabar mw nonton film nya bg bene...sukses terus buat klian","permisi temanada kah disini yang tau gmn caranya bisa dm bg bene atau ada yg tau email nya ga ya 
sungguh ingin mengutarakan sesuatu buat beliau
btwga sabar mw nonton film nya bg benesukses terus buat klian",permisi temanada kah tau gmn dm bg bene yg tau email nya ga ya sungguh mengutarakan beliau btwga sabar mw nonton film nya bg benesukses klian,permisi temanada kah tau gmn dm bg bene yg tau email nya ga ya sungguh utara beliau btwga sabar mw nonton film nya bg benesukses klian,netral
YouTube,"Orang2 itu lagi,  Circle2 itu lg. 

Boring.","orang itu lagi  circle itu lg 

boring",orang circle lg boring,orang circle lg boring,netral
YouTube,harus nonton sihhhhh,harus nonton sihhhhh,nonton sihhhhh,nonton sihhhhh,netral
YouTube,1.5 jt kami garansi koh, jt kami garansi koh,jt garansi koh,jt garansi koh,netral
YouTube,1 febuari asu masih lama, febuari asu masih lama,febuari asu,febuari asu,netral
YouTube,Nah ini agak laen ni dari film laen 😂 PENASARAN NJIR,nah ini agak laen ni dari film laen  penasaran njir,laen ni film laen penasaran njir,laen ni film laen penasaran njir,netral
YouTube,Setannya batak cokkk 🤣🤣🤣🤣,setannya batak cokkk ,setannya batak cokkk,setan batak cokkk,netral
YouTube,Setane gak patuuuuut 🤣🤣🤣seketika langsung ngakak..,setane gak patuuuuut seketika langsung ngakak,setane gak patuuuuut langsung ngakak,setane gak patuuuuut langsung ngakak,netral
YouTube,ANJIR SUMPAH TRAILERNYA AJA NGAKAK KALI BAH,anjir sumpah trailernya aja ngakak kali bah,anjir sumpah trailernya aja ngakak kali bah,anjir sumpah trailer aja ngakak kali bah,netral
YouTube,aku mau nontooooonnnn,aku mau nontooooonnnn,nontooooonnnn,nontooooonnnn,netral
YouTube,0:31 Saya cuma ketawa pas liat adegan arief didu lari ketakutan terus mati. entah kenapa akting terlihat natural dan tidak melucui seperti aktor aktor tahun 80an, saya cuma ketawa pas liat adegan arief didu lari ketakutan terus mati entah kenapa akting terlihat natural dan tidak melucui seperti aktor aktor tahun an,ketawa pas liat adegan arief didu lari ketakutan mati akting natural melucui aktor aktor an,ketawa pas liat adegan arief didu lari takut mati akting natural lucu aktor aktor an,positif
YouTube,wah kocak nih 🤣,wah kocak nih ,kocak nih,kocak nih,netral
YouTube,Wih seru kayaknya,wih seru kayaknya,wih seru kayaknya,wih seru kayak,positif
YouTube,Anjeeeng lucu kali lah we dr trailernya ajaa wkwkwk,anjeeeng lucu kali lah we dr trailernya ajaa wkwkwk,anjeeeng lucu kali we dr trailernya ajaa wkwkwk,anjeeeng lucu kali we dr trailer ajaa wkwkwk,positif
YouTube,Pasti lucu ni,pasti lucu ni,lucu ni,lucu ni,positif
YouTube,"Ngeri2 sedap bah hati abang2 ku ini menunggu tahun depan, balik modal gak yaaaa 😂",ngeri sedap bah hati abang ku ini menunggu tahun depan balik modal gak yaaaa ,ngeri sedap bah hati abang ku menunggu modal gak yaaaa,ngeri sedap bah hati abang ku tunggu modal gak yaaaa,netral
YouTube,mantep yg kaya gini gini nihhh patut di tunggu,mantep yg kaya gini gini nihhh patut di tunggu,mantep yg kaya gini gini nihhh patut tunggu,mantep yg kaya gin gin nihhh patut tunggu,netral
YouTube,Fress sih blm buat film indo,fress sih blm buat film indo,fress sih blm film indo,fress sih blm film indo,netral
YouTube,Ternyata premis Perempuan Tanah Jahe Enam dipake beneran...😂,ternyata premis perempuan tanah jahe enam dipake beneran,premis perempuan tanah jahe enam dipake beneran,premis perempuan tanah jahe enam dipake beneran,netral
YouTube,Ayooo kita nonton ...ga sabar ih😂,ayooo kita nonton ga sabar ih,ayooo nonton ga sabar ih,ayooo nonton ga sabar ih,netral
YouTube,Agak laen emang haha,agak laen emang haha,laen emang haha,laen emang haha,netral
YouTube,Fulll boked pasti di hari pertama,fulll boked pasti di hari pertama,fulll boked,fulll boked,netral
YouTube,"Terharu sendiri. Dari obrolan dgn Ko Ernest, bs sampe jd film beneran ❤ biarpun ku jauh di Singapore & ga bs nonton bioskop, klo tayang di ott, saya pasti tonton 😂❤",terharu sendiri dari obrolan dgn ko ernest bs sampe jd film beneran  biarpun ku jauh di singapore  ga bs nonton bioskop klo tayang di ott saya pasti tonton ,terharu obrolan dgn ko ernest bs sampe jd film beneran biarpun ku singapore ga bs nonton bioskop klo tayang ott tonton,haru obrol dgn ko ernest bs sampe jd film beneran biarpun ku singapore ga bs nonton bioskop klo tayang ott tonton,netral
YouTube,"memang agak laen kau bang. adegan orang mati kau ketawain. emang cocok lah kau nonton pilem ini bang, sama-sama agak laen kalian hahaha..",memang agak laen kau bang adegan orang mati kau ketawain emang cocok lah kau nonton pilem ini bang samasama agak laen kalian hahaha,laen kau bang adegan orang mati kau ketawain emang cocok kau nonton pilem bang samasama laen hahaha,laen kau bang adegan orang mati kau ketawain emang cocok kau nonton pilem bang samasama laen hahaha,netral
YouTube," @tsaniaafdaulay  astaga serius aku, lucu kali liat aktingnya Arief Didu lari lari sampai mati . Kayak bukan akting", tsaniaafdaulay  astaga serius aku lucu kali liat aktingnya arief didu lari lari sampai mati  kayak bukan akting,tsaniaafdaulay astaga serius lucu kali liat aktingnya arief didu lari lari mati kayak akting,tsaniaafdaulay astaga serius lucu kali liat akting arief didu lari lari mati kayak akting,positif
YouTube,Amin,amin,amin,amin,netral
YouTube,Masih dekat ke Batam itu kk hehe,masih dekat ke batam itu kk hehe,batam kk hehe,batam kk hehe,netral
YouTube,Singapura deket kali bang,singapura deket kali bang,singapura deket kali bang,singapura deket kali bang,netral
YouTube, @cisco639 beliin tiket ferinya ke batam dong. 😂dikira murah apa beli tiket feri PP Singapore Batam 😵‍💫, cisco beliin tiket ferinya ke batam dong dikira murah apa beli tiket feri pp singapore batam ,cisco beliin tiket ferinya batam murah beli tiket feri pp singapore batam,cisco beliin tiket feri batam murah beli tiket feri pp singapore batam,netral
YouTube,Ahir nya bang Oki diajak main film..😭,ahir nya bang oki diajak main film,ahir nya bang oki diajak main film,ahir nya bang oki ajak main film,netral
YouTube,Februari lama kali bah,februari lama kali bah,februari kali bah,februari kali bah,netral
YouTube,Terwajib ditonton,terwajib ditonton,terwajib ditonton,wajib tonton,netral
YouTube,Satu juta penonton yee kan..,satu juta penonton yee kan,juta penonton yee,juta tonton yee,netral
YouTube,ANGIN DUDUKK WKWKWKWK,angin dudukk wkwkwkwk,angin dudukk wkwkwkwk,angin dudukk wkwkwkwk,netral
YouTube,"""Kelen ini hantu, harus seram. Gak bisa kalau cuma modal jelek.""

Njirr.. gini doang dah ngakak aku 🤣

Tek-tokan timing-nya itu loohh.. yang bikin jadi tambah lucu 😂

Jadi gak sabar nunggu 1 Febuari ❤","kelen ini hantu harus seram gak bisa kalau cuma modal jelek

njirr gini doang dah ngakak aku 

tektokan timingnya itu loohh yang bikin jadi tambah lucu 

jadi gak sabar nunggu  febuari ",kelen hantu seram gak modal jelek njirr gini doang dah ngakak tektokan timingnya loohh bikin lucu gak sabar nunggu febuari,kelen hantu seram gak modal jelek njirr gin doang dah ngakak tektokan timingnya loohh bikin lucu gak sabar nunggu febuari,positif
YouTube,"😂😂😂SOPAN KALI MANGGIL ANTU😂😂😂😅
BATAK KALI..","sopan kali manggil antu
batak kali",sopan kali manggil antu batak kali,sopan kali manggil antu batak kali,netral
YouTube,Kalo ada babeh pasti lebih pecah lagi nii,kalo ada babeh pasti lebih pecah lagi nii,kalo babeh pecah nii,kalo babeh pecah nii,netral
YouTube,Kapan ni rilis nya,kapan ni rilis nya,ni rilis nya,ni rilis nya,netral
YouTube,Trailer nya aja lucu mampus.,trailer nya aja lucu mampus,trailer nya aja lucu mampus,trailer nya aja lucu mampus,positif
YouTube,masuk daftar,masuk daftar,masuk daftar,masuk daftar,netral
